id,sentence_id,cluster_id,similarity_to_cluster_centroid,team_id
537120,1022497,46905,0.789802,427
537121,1019892,46905,0.790381,427
537122,1021203,46905,0.791138,427
537123,1021706,46905,0.795239,427
537124,1019436,46905,0.795461,427
537125,1019913,46905,0.796332,427
537126,1020457,46905,0.797267,427
537127,1019601,46905,0.79775,427
537128,1021081,46905,0.798103,427
537129,1023863,46905,0.798512,427
537130,1021760,46905,0.800001,427
537131,1019987,46905,0.800216,427
537132,1021325,46905,0.800469,427
537133,1019715,46905,0.801652,427
537134,1022056,46905,0.805795,427
537135,1021128,46905,0.80847,427
537136,1019387,46905,0.809274,427
537137,1019928,46905,0.80982,427
537138,1024105,46905,0.81485,427
537139,1021258,46905,0.816942,427
537140,1022224,46905,0.817989,427
537141,1019647,46905,0.819548,427
537142,1021296,46905,0.819814,427
537143,1023801,46905,0.820501,427
537144,1020623,46905,0.826458,427
537145,1021841,46905,0.827931,427
537146,1019964,46905,0.829727,427
537147,1022500,46905,0.830946,427
537148,1019765,46905,0.831563,427
537149,1023242,46905,0.832397,427
537150,1021699,46905,0.837774,427
537151,1020075,46905,0.842236,427
537152,1021245,46905,0.845598,427
537153,1022290,46905,0.849198,427
537154,1019751,46905,0.850465,427
537155,1022148,46905,0.851966,427
537156,1021698,46905,0.852475,427
537157,1019709,46905,0.853151,427
537158,1019462,46905,0.8534,427
537159,1022006,46905,0.858538,427
537160,1022287,46905,0.858911,427
537161,1020543,46905,0.860366,427
537162,1020910,46905,0.862546,427
537163,1021719,46905,0.872334,427
537164,1021319,46905,0.87374,427
537165,1021905,46905,0.874984,427
537166,1019594,46905,0.887491,427
537167,1022308,46905,0.893393,427
537168,1020539,46905,0.894982,427
537169,1020496,46905,0.90242,427
537170,1023618,46905,0.90795,427
537171,1019556,46905,0.908008,427
537172,1022007,46905,0.910616,427
537173,1021814,46905,0.912539,427
537174,1020952,46905,0.916693,427
537175,1020939,46905,0.927123,427
537176,1021589,46905,0.932135,427
537177,1019915,46905,0.945225,427
537178,1020484,46905,0.946788,427
537223,1019390,46908,,427
537224,1019653,46908,0.716616,427
537247,1023412,46908,0.902996,427
537360,1019416,46914,,427
537361,1023380,46914,0.671496,427
537362,1022306,46914,0.696419,427
537363,1022731,46914,0.715935,427
537364,1023953,46914,0.749932,427
537365,1020524,46914,0.759212,427
537366,1021374,46914,0.761643,427
537367,1021076,46914,0.765701,427
537368,1023239,46914,0.769304,427
537369,1023026,46914,0.78285,427
537370,1024179,46914,0.795883,427
537371,1020188,46914,0.814296,427
537372,1021223,46914,0.81723,427
537373,1020378,46914,0.817868,427
537374,1021407,46914,0.820282,427
537375,1023378,46914,0.830528,427
537376,1021825,46914,0.831334,427
537377,1023027,46914,0.835892,427
537379,1020871,46914,0.859734,427
537381,1020755,46914,0.86755,427
537383,1019855,46914,0.919235,427
537384,1022062,46914,0.932063,427
537459,1019477,46920,,427
537460,1023847,46920,0.715728,427
537461,1020970,46920,0.732196,427
537462,1023294,46920,0.739999,427
537463,1020844,46920,0.770704,427
537464,1023031,46920,0.792899,427
537465,1022192,46920,0.805454,427
537466,1019871,46920,0.819366,427
537467,1020335,46920,0.880908,427
537636,1019570,46932,,427
537637,1020055,46932,0.308586,427
537638,1023935,46932,0.388106,427
537639,1023820,46932,0.395327,427
537640,1022198,46932,0.405282,427
537641,1023933,46932,0.44505,427
537642,1023877,46932,0.464854,427
537643,1023874,46932,0.483779,427
537644,1020471,46932,0.489112,427
537645,1021094,46932,0.554151,427
537646,1019911,46932,0.567078,427
537647,1020750,46932,0.569826,427
537648,1020093,46932,0.591733,427
537649,1023075,46932,0.607925,427
